加總 - Performance MegaMults/Sec,欄標籤,,,,,,
列標籤,1024,524288,1048576,2097152,4194304,8388608,總計
8,14.228,796.829,1164.404,1377.181,565.738,1631.149,5549.529
16,13.718,1190.26,1644.147,1908.052,2325.078,2518.819,9600.074
32,18.671,1349.863,2097.013,2458.837,3335.749,3985.272,13245.405
64,10.244,1723.526,1849.67,3634.277,4567.421,5792.485,17577.623
128,11.3,1226.06,2263.184,4729.483,4898.16,7433.704,20561.891
256,17.256,1071.581,2160.533,798.872,5665.039,6905.682,16618.963
512,15.628,1576.55,2124.352,3027.106,4272.904,5906.784,16923.324
總計,101.045,8934.669,13303.303,17933.808,25630.089,34173.895,100076.809
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,1024,524288,1048576,2097152,4194304,8388608,
8,14.228,796.829,1164.404,1377.181,565.738,1631.149,
16,13.718,1190.26,1644.147,1908.052,2325.078,2518.819,
32,18.671,1349.863,2097.013,2458.837,3335.749,3985.272,
64,10.244,1723.526,1849.67,3634.277,4567.421,5792.485,
128,11.3,1226.06,2263.184,4729.483,4898.16,7433.704,
256,17.256,1071.581,2160.533,798.872,5665.039,6905.682,
512,15.628,1576.55,2124.352,3027.106,4272.904,5906.784,
